Release,Hardware arch,Patch,Comment,Category
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/027_resolver.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/026_fdalloc2.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/025_sudo.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/024_sshafs.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/023_mail.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/022_zlib.patch,,Reliability
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/021_openssh.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/020_ptrace.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/019_sudo.patch,,Security
2.9,All,-,,Install problem
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/017_lpd.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/016_recover.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/015_uucp.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/014_lpd.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/013_sendmail.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/012_nfs.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/011_pkg.patch,,Reliability
2.9,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/i386/010_nvidia.patch,,Reliability
2.9,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/i386/009_XF86Setup.patch,,Reliability
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/008_twe.patch,,Reliability
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/007_kernexec.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/006_sshcookie.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/005_pwd_mkdb.patch,,Reliability
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/004_isakmpd.patch,,Reliability
2.9,All,-,,Documentation fix
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/002_fts.patch,,Security
2.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.9/common/001_sendmail.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/036_named.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/035_kernresource.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/034_smrsh.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/033_kadmin.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/032_kerntime.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/031_scarg.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/030_ssl.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/029_xdr.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/028_pppd.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/027_isakmpd.patch,,Reliability
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/026_ktrace.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/025_resolver.patch,,Security
3.0,All,-,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/023_mod_ssl.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/022_httpd.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/021_fdalloc2.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/020_sudo.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/019_sshafs.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/018_mail.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/017_isakmpd.patch,,Reliability
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/016_approval.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/015_zlib.patch,,Reliability
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/014_openssh.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/013_syspipe.patch,,Reliability
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/012_ptrace.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/011_sudo.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/010_ipip.patch,,Reliability
3.0,All,-,,Installation fix
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/008_lpd.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/007_recover.patch,,Security
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/006_pf.patch,,Security
3.0,macppc,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/macppc/005_altivec.patch,,Reliability
3.0,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/i386/004_hifn.patch,,Reliability
3.0,sparc64,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/sparc64/003_sparc64cd.patch,,Reliability
3.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.0/common/002_ssh2.patch,,Security
3.0,All,-,,Install issue
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/027_sendmail.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/026_kerberos.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/025_kpr.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/024_blinding.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/023_lprm.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/022_sendmail.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/021_ssl.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/020_cvs.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/019_named.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/018_kernresource.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/017_smrsh.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/016_kadmin.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/015_kerntime.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/014_scarg.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/013_ssl.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/012_xdr.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/011_pppd.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/010_isakmpd.patch,,Reliability
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/009_ktrace.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/008_mod_ssl.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/007_resolver.patch,,Security
3.1,All,-,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/005_httpd.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/004_sshbsdauth.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/003_fdalloc2.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/002_sudo.patch,,Security
3.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.1/common/001_sshafs.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/021_arp.patch,,Reliability
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/020_asn1.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/019_pfnorm.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/018_sendmail.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/017_sshbuffer.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/016_sendmail.patch,,Security
